"Statistic Label","Year","Gross Vehicle Weight","Fuel Type","Type of Carriage","Licensing Authority","UNIT","VALUE"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Co. Wicklow","Number","16"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Co. Westmeath","Number","24"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Co. Wexford","Number","25"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Ireland","Number","2821"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Clare","Number","1"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Cork","Number","8"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Cavan","Number","0"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Carlow","Number","0"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Donegal","Number","0"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Dublin","Number","204"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Galway","Number","1"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Kildare","Number","0"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Kilkenny","Number","0"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Kerry","Number","0"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Longford","Number","0"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Louth","Number","3"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Limerick","Number","0"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Leitrim","Number","0"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Laois","Number","0"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Meath","Number","0"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Monaghan","Number","0"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Mayo","Number","0"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Offaly","Number","0"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Roscommon","Number","0"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Sligo","Number","1"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Tipperary","Number","0"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Waterford","Number","0"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Wicklow","Number","0"
